show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s4539,Movie,Address Unknown,Shawn Levy,"Patrick Renna, Kyle Howard, Corbin Allred, Michael Flynn",,,1997,PG,83 min,"Action, Drama, Suspense","10 years after their fathers' deaths, two teenagers' tragic common bond leads to friendship and adventure. Determined to uncover what really happened to their fathers, Matt and Tarra must take on two officials who know the shocking truth.",amazon,6.1
s4540,Movie,10.0 Earthquake,David Gidali,"Henry Ian Cusick, David Chokachi, Jeffrey Jones, Kristen Dalton, Cameron Richardson",,,2014,16+,87 min,Science Fiction,"Los Angeles is about to be hit by a devastating earthquake, and time is running out to save the city from imminent danger.",amazon,"3,4"
s4541,Movie,Wonder Boy for President,John Barker,"Kagiso Lediga, Ntosh Madlingozi, Tony Miyambo, Thishiwe Ziqubu, John Vlismas, Akin Omotoso, Loyiso Gola, David Kibuuka",,,2016,18+,87 min,Drama,"'Wonder Boy for President' tells the story of Wonder Boy, a charismatic and authoritative young man from the Eastern Cape, who is coerced into running for president by two dubious and corrupt characters. Their aim is to mould him into a great politician and manufacture his downfall at the right time, for the right price.",amazon,"5,9"
s4542,Movie,What If,Michael Dowse,"Daniel Radcliffe, Mackenzie Davis, Rafe Spall, Zoe Kazan, Adam Driver, Megan Park, Oona Chaplin",,,2014,PG-13,98 min,"Comedy, Drama","WHAT IF is the story of medical school dropout Wallace (Daniel Radcliffe), who's been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan (Adam Driver) seems to be finding the perfect partner (Mackenzie Davis), Wallace decides to put his love life on hold. It is then that he meets Chantry (Zoe Kazan) an animator who lives with her longtime boyfrien..",amazon,
s4543,Movie,Urvi,B.S.Pradeep Varma,"Shruthi Hariharan, Shraddha Srinath, Achyuth Kumar",,,2017,18+,122 min,"Drama, Suspense","A wall separates three woman from reaching their dreams. In order to break it down, they must come together and strike at the hands that built it.",amazon,"6,9"
s4544,Movie,Uncle P,Bernard Gourley,"Master P, Romeo Miller, Tony Cox",,,2007,PG,88 min,Comedy,Rapper/multi-millionaire P. Miller becomes the guardian of his sister's three children - all of whom need a father figure in their lives.,amazon,"3,8"
s4545,Movie,Truck Tunes,James Gardner,,,,2007,ALL,37 min,"Kids, Special Interest",Sing along with ten original songs as you follow these tough machines at work. Dig with an Excavator. Load and scoop with a Front End Loader. Push a heavy load with a Bulldozer. Smash up asphalt and concrete with an Impact Hammer. Dig; load and grade with a Backhoe. And many more... The irresistible music that accompanies this video will have you dancing and singing as you watch the action!,amazon,
s4546,Movie,Tranquillo,Jonathan Jäggi,"Tobias Bienz, Sandra Zellweger, Joel Singh, Joachim Aeschlimann",,,2018,16+,70 min,Drama,"Because of an appearing psychogenic Tinnitus a twenty-something youngster is forced to rethink his egoistic, urban lifestyle.",amazon,
s4547,TV Show,The Sword and The Brocade,,"Wallace Chung, Seven Tan, He Hong Shan, Daddi Tang, Wu Mian, Fang Xiao Li",,,2021,13+,1 Season,Drama,"Set during the Ming Dynasty, the story revolves around the romance between General Xu Lingyi and the concubine's daughter Shiyiniang that starts from an arranged marriage. Despite being born with a low status, Luo Shiyiniang is extremely assertive and believes that a woman's vision should not be limited to the household. She hopes to rely on her embroidery skills as a ticket to freedom.",amazon,"8,1"
s4548,Movie,The Statement,Norman Jewison,"Michael Caine, Tilda Swinton, Ciarán Hinds, Charlotte Rampling, Jeremy Northam, Colin Salmon, Matt Craven, Alan Bates, John Neville",,,2003,R,119 min,"Drama, Suspense",Pierre Brossard was once a Nazi executioner under the Vichy regime. Brossard has never been brought to trial and has lived a peaceful and anonymous life. A new investigation into his crimes is launched and Brossard finds himself the target of hit men on the one hand – and police investigators on the other.,amazon,6.2
s4549,Movie,The Odds,Bob Giordano,"Abbi Butler, James J. Fuertes, Katie Gunn, Les Parker, Sean Ramey",,,2018,18+,107 min,"Horror, Suspense","A young woman joins an underground game of pain endurance, hoping to win the prize; US$1 million. She soon discovers the game's rigged, and the real opponent is the man- a sadistic psychopath, who's created the game. As things progress, she's forced to endure ever-increasing torturous pain, as her opponent engages ever-more horrific methods to manipulate and defeat her.",amazon,4.9
s4550,Movie,The King's Guard,Jonathan Tydor,"Eric Roberts, Ron Perlman, Lesley-Anne Down, Brian Cousins",,,2000,13+,92 min,Action,A princess falls in love with her father's swordsman.,amazon,3.5
s4551,Movie,The Hornet's Nest,"Christian Tureaud, David Salzberg","Mike Boettcher, Carlos Boettcher",,,2014,R,97 min,Documentary,"The Hornet's Nest is a groundbreaking and immersive feature film, using unprecedented real footage to tell the story of an elite group of U. S. troops sent on a dangerous mission deep inside one of Afghanistan's most hostile valleys. What was planned as a single day strike turned into nine intense days of combat against an invisible, hostile enemy in terrain where troops had never dared go before.",amazon,6.7
s4552,Movie,The Heroin King of Baltimore,Derick Prince,,,,2013,18+,57 min,Documentary,Melvin Williams controlled the heroin market in Baltimore during the 70's and early 80's amassing millions of dollars. His life inspired a television series.,amazon,
